nohup: ignoring input
[Ideal_FP32 | Seed 2] Epoch 56/100 - Acc: 0.9648, Total Spikes: 4186838.0
[Ideal_FP32 | Seed 2] Epoch 57/100 - Acc: 0.9646, Total Spikes: 4184097.0
[Ideal_FP32 | Seed 2] Epoch 58/100 - Acc: 0.9648, Total Spikes: 4182597.0
[Ideal_FP32 | Seed 2] Epoch 59/100 - Acc: 0.9649, Total Spikes: 4196778.0
[Ideal_FP32 | Seed 2] Epoch 60/100 - Acc: 0.9659, Total Spikes: 4190128.0
[Ideal_FP32 | Seed 2] Epoch 61/100 - Acc: 0.9661, Total Spikes: 4180382.0
[Ideal_FP32 | Seed 2] Epoch 62/100 - Acc: 0.9665, Total Spikes: 4192027.0
[Ideal_FP32 | Seed 2] Epoch 63/100 - Acc: 0.9662, Total Spikes: 4185395.0
[Ideal_FP32 | Seed 2] Epoch 64/100 - Acc: 0.9667, Total Spikes: 4187010.0
[Ideal_FP32 | Seed 2] Epoch 65/100 - Acc: 0.9670, Total Spikes: 4177294.0
[Ideal_FP32 | Seed 2] Epoch 66/100 - Acc: 0.9658, Total Spikes: 4206417.0
[Ideal_FP32 | Seed 2] Epoch 67/100 - Acc: 0.9677, Total Spikes: 4171472.0
[Ideal_FP32 | Seed 2] Epoch 68/100 - Acc: 0.9670, Total Spikes: 4187425.0
[Ideal_FP32 | Seed 2] Epoch 69/100 - Acc: 0.9666, Total Spikes: 4186657.0
[Ideal_FP32 | Seed 2] Epoch 70/100 - Acc: 0.9679, Total Spikes: 4206023.0
[Ideal_FP32 | Seed 2] Epoch 71/100 - Acc: 0.9666, Total Spikes: 4176393.0
[Ideal_FP32 | Seed 2] Epoch 72/100 - Acc: 0.9670, Total Spikes: 4182876.0
[Ideal_FP32 | Seed 2] Epoch 73/100 - Acc: 0.9668, Total Spikes: 4187669.0
