nohup: ignoring input
[Ideal_FP32 | Seed 1] Epoch 43/100 - Acc: 0.9636, Total Spikes: 4303584.0
[Ideal_FP32 | Seed 1] Epoch 44/100 - Acc: 0.9642, Total Spikes: 4311128.0
[Ideal_FP32 | Seed 1] Epoch 45/100 - Acc: 0.9641, Total Spikes: 4329963.0
[Ideal_FP32 | Seed 1] Epoch 46/100 - Acc: 0.9637, Total Spikes: 4324166.0
[Ideal_FP32 | Seed 1] Epoch 47/100 - Acc: 0.9641, Total Spikes: 4337050.0
[Ideal_FP32 | Seed 1] Epoch 48/100 - Acc: 0.9639, Total Spikes: 4327603.0
[Ideal_FP32 | Seed 1] Epoch 49/100 - Acc: 0.9641, Total Spikes: 4356817.0
[Ideal_FP32 | Seed 1] Epoch 50/100 - Acc: 0.9658, Total Spikes: 4330920.0
[Ideal_FP32 | Seed 1] Epoch 51/100 - Acc: 0.9646, Total Spikes: 4328060.0
[Ideal_FP32 | Seed 1] Epoch 52/100 - Acc: 0.9653, Total Spikes: 4315347.0
[Ideal_FP32 | Seed 1] Epoch 53/100 - Acc: 0.9639, Total Spikes: 4342488.0
[Ideal_FP32 | Seed 1] Epoch 54/100 - Acc: 0.9634, Total Spikes: 4347236.0
[Ideal_FP32 | Seed 1] Epoch 55/100 - Acc: 0.9645, Total Spikes: 4344796.0
[Ideal_FP32 | Seed 1] Epoch 56/100 - Acc: 0.9665, Total Spikes: 4335766.0
[Ideal_FP32 | Seed 1] Epoch 57/100 - Acc: 0.9642, Total Spikes: 4322323.0
[Ideal_FP32 | Seed 1] Epoch 58/100 - Acc: 0.9652, Total Spikes: 4333831.0
[Ideal_FP32 | Seed 1] Epoch 59/100 - Acc: 0.9636, Total Spikes: 4336694.0
[Ideal_FP32 | Seed 1] Epoch 60/100 - Acc: 0.9644, Total Spikes: 4323588.0
[Ideal_FP32 | Seed 1] Epoch 61/100 - Acc: 0.9655, Total Spikes: 4321223.0
[Ideal_FP32 | Seed 1] Epoch 62/100 - Acc: 0.9645, Total Spikes: 4350265.0
[Ideal_FP32 | Seed 1] Epoch 63/100 - Acc: 0.9658, Total Spikes: 4334570.0
[Ideal_FP32 | Seed 1] Epoch 64/100 - Acc: 0.9648, Total Spikes: 4329924.0
[Ideal_FP32 | Seed 1] Epoch 65/100 - Acc: 0.9646, Total Spikes: 4327521.0
[Ideal_FP32 | Seed 1] Epoch 66/100 - Acc: 0.9663, Total Spikes: 4338119.0
[Ideal_FP32 | Seed 1] Epoch 67/100 - Acc: 0.9651, Total Spikes: 4334454.0
[Ideal_FP32 | Seed 1] Epoch 68/100 - Acc: 0.9660, Total Spikes: 4330303.0
[Ideal_FP32 | Seed 1] Epoch 69/100 - Acc: 0.9662, Total Spikes: 4352954.0
[Ideal_FP32 | Seed 1] Epoch 70/100 - Acc: 0.9650, Total Spikes: 4337408.0
[Ideal_FP32 | Seed 1] Epoch 71/100 - Acc: 0.9649, Total Spikes: 4344862.0
[Ideal_FP32 | Seed 1] Epoch 72/100 - Acc: 0.9661, Total Spikes: 4361069.0
[Ideal_FP32 | Seed 1] Epoch 73/100 - Acc: 0.9660, Total Spikes: 4339297.0
[Ideal_FP32 | Seed 1] Epoch 74/100 - Acc: 0.9645, Total Spikes: 4341951.0
[Ideal_FP32 | Seed 1] Epoch 75/100 - Acc: 0.9655, Total Spikes: 4323425.0
[Ideal_FP32 | Seed 1] Epoch 76/100 - Acc: 0.9652, Total Spikes: 4327350.0
[Ideal_FP32 | Seed 1] Epoch 77/100 - Acc: 0.9656, Total Spikes: 4355116.0
[Ideal_FP32 | Seed 1] Epoch 78/100 - Acc: 0.9660, Total Spikes: 4346133.0
[Ideal_FP32 | Seed 1] Epoch 79/100 - Acc: 0.9660, Total Spikes: 4330100.0
[Ideal_FP32 | Seed 1] Epoch 80/100 - Acc: 0.9651, Total Spikes: 4321585.0
[Ideal_FP32 | Seed 1] Epoch 81/100 - Acc: 0.9646, Total Spikes: 4330881.0
[Ideal_FP32 | Seed 1] Epoch 82/100 - Acc: 0.9653, Total Spikes: 4323108.0
[Ideal_FP32 | Seed 1] Epoch 83/100 - Acc: 0.9648, Total Spikes: 4352521.0
[Ideal_FP32 | Seed 1] Epoch 84/100 - Acc: 0.9653, Total Spikes: 4311970.0
[Ideal_FP32 | Seed 1] Epoch 85/100 - Acc: 0.9659, Total Spikes: 4346404.0
[Ideal_FP32 | Seed 1] Epoch 86/100 - Acc: 0.9662, Total Spikes: 4336938.0
